listing_id,property_name,rent,bedrooms,bathrooms,square_feet,city,state,latitude,longitude,distance_to_campus_miles,commute_time_minutes,parking_included,laundry_included,utilities_included,furnished,pet_friendly,safety_rating,walkability_score,lease_length_months,hidden_fees_estimate,description
1,Orange Grove Flats,"$1,650/mo",2 bd,2 ba,940 sqft,Austin,TX,30.2927,-97.7410,0.7 mi,8 min,Yes,Yes,No,Yes,No,4.4,91,12,"$85","West Campus building with furnished bedrooms, fast internet, and a short walk to class."
2,North Loop Studios,"$1,050 / month",1 bed,1 bath,480 sq ft,Austin,TX,30.3002,-97.7291,1.3 mi,12 min,No,Yes,No,No,Yes,4.1,78,12,"$210","Compact studio on a quiet street with card laundry and easy bike access to campus."
3,West Campus Commons,"$2,400",4 bedrooms,4 bathrooms,"1,500",Austin,TX,30.2894,-97.7447,0.5 mi,7 min,Yes,Yes,No,Yes,Yes,4.3,95,12,"$160","Popular student complex with study lounge, pool, package lockers, and covered parking."
4,Riverside Terrace,"$1,800/mo",3 bd,2 bath,1200 sqft,Austin,TX,30.2495,-97.7183,3.2 mi,19 min,No,No,No,No,Yes,3.6,62,12,"$275","Budget-friendly unit near the shuttle route with older finishes and separate utility billing."
5,Pearl Street House,"$3,200",4 bed,3 bath,2000 sqft,Austin,TX,30.2938,-97.7465,0.8 mi,9 min,Yes,Yes,No,No,Yes,4.5,88,12,"$125","Spacious house with backyard, full laundry room, and room for a larger roommate group."
6,Guadalupe Lofts,"$1,920/mo",2 bd,1 ba,760 sqft,Austin,TX,30.2958,-97.7419,0.9 mi,10 min,No,Yes,No,No,Yes,4.0,93,12,"$320","Modern loft with balcony, fitness room, and pet-friendly policy, but parking is extra nearby."
7,Speedway Apartments,"$2,050",3 bd,2 ba,1100 sqft,Austin,TX,30.2950,-97.7330,0.6 mi,8 min,Yes,Yes,Yes,No,No,4.2,89,12,"$60","Student-oriented building with utilities bundled, study rooms, and bike storage."
8,Campus Edge Micro,"$900/mo",studio,1 bath,320 sqft,Austin,TX,30.2862,-97.7398,0.3 mi,5 min,No,Yes,Yes,Yes,No,4.0,96,10,"$40","Tiny furnished micro-studio steps from campus with shared laundry and strong walkability."
9,Red River Residences,"$2,700 / mo",3 bd,3 ba,1350 sqft,Austin,TX,30.2878,-97.7320,0.7 mi,9 min,Yes,Yes,No,No,Yes,4.1,90,12,"$290","Amenity-heavy building with garage parking, in-unit laundry, and package lockers."
10,Hyde Park Shared,"$1,500",2 bed,1 bath,900 sqft,Austin,TX,30.3017,-97.7261,1.8 mi,14 min,No,No,No,No,No,4.3,74,12,"$110","Older Hyde Park duplex with free street parking nearby and a quieter neighborhood feel."
11,Greenline Flats,"$2,200/mo",3 bd,2.5 bath,1300 sqft,Austin,TX,30.2784,-97.7268,1.2 mi,11 min,Yes,Yes,No,Yes,No,3.9,83,12,"$140","Near the bus line with a furnished common area, in-unit laundry, and roommate-friendly layout."
12,Union Heights,"$2,600",4 bd,2 ba,1450 sqft,Austin,TX,30.3096,-97.7428,2.0 mi,16 min,No,Yes,No,No,No,3.8,69,12,"$180","Affordable four-bedroom option north of campus with large living space and shared laundry."
13,San Gabriel Square,"$1,780/mo",2 bd,2 ba,860 sqft,Austin,TX,30.2921,-97.7478,0.8 mi,9 min,Yes,Yes,No,Yes,Yes,4.4,92,12,"$150","West Campus unit with furnished bedrooms, gated garage, and coffee shop downstairs."
14,Dean Keeton Place,"$1,340",1 bed,1 bath,610 sqft,Austin,TX,30.2910,-97.7259,1.0 mi,10 min,No,Yes,No,No,Yes,4.0,86,12,"$195","North Campus one-bedroom close to the shuttle with renovated kitchen and pet policy."
15,Nueces Co-op Suites,"$1,480/mo",2 bd,1 bath,710 sqft,Austin,TX,30.2889,-97.7441,0.4 mi,6 min,No,Yes,Yes,Yes,No,4.2,94,9,"$55","Simple furnished suite with shared study room, bundled utilities, and no parking included."
16,Rio Grande Terrace,"$2,280",3 bd,2 bath,1180 sqft,Austin,TX,30.2874,-97.7472,0.6 mi,8 min,Yes,Yes,No,No,Yes,4.3,93,12,"$205","Three-bedroom near West Campus food spots with in-unit washer and reserved parking."
17,26th Street Flats,"$1,890",2 bed,2 bath,840 sqft,Austin,TX,30.2918,-97.7415,0.5 mi,7 min,No,Yes,No,Yes,No,4.1,95,12,"$175","Tight but efficient floor plan with furnished bedrooms and a quick walk to class."
18,Clarksville Crossing,"$2,050/mo",2 bd,1.5 bath,980 sqft,Austin,TX,30.2834,-97.7561,1.8 mi,15 min,Yes,Yes,No,No,Yes,4.6,76,12,"$145","Quieter west-side option with covered parking, hardwood floors, and a small dog run."
19,Far West Shuttle Homes,"$1,720",2 bd,2 ba,1030 sqft,Austin,TX,30.3508,-97.7610,4.4 mi,22 min,Yes,Yes,No,No,Yes,4.5,48,12,"$95","Farther from campus but roomy and on a direct shuttle line with easy parking."
20,Hemphill Park Residences,"$2,120/mo",3 bd,2 bath,1120 sqft,Austin,TX,30.2988,-97.7378,1.0 mi,10 min,No,Yes,No,No,No,3.7,87,12,"$240","Busy student block near restaurants with in-unit laundry and limited street parking."
21,Rio Vista Student Living,"$2,460",4 bd,4 ba,1480 sqft,Austin,TX,30.2902,-97.7435,0.5 mi,7 min,Yes,Yes,Yes,Yes,Yes,4.2,95,12,"$180","Purpose-built student housing with individual bathrooms, bundled utilities, and furnished rooms."
22,Maple Avenue Duplex,"$1,680",2 bd,1 bath,880 sqft,Austin,TX,30.2976,-97.7270,1.4 mi,12 min,Yes,Yes,No,No,Yes,4.4,79,12,"$70","North Campus duplex with free driveway parking, fenced yard, and washer-dryer set."
23,Red River Annex,"$1,260/mo",1 bd,1 bath,540 sqft,Austin,TX,30.2869,-97.7314,0.8 mi,9 min,No,Yes,No,No,No,3.8,90,12,"$260","Convenient one-bedroom with shared courtyard, on-site laundry, and several upfront fees."
24,Speedway Courtyard,"$2,340",3 bd,2 ba,1210 sqft,Austin,TX,30.2971,-97.7326,0.9 mi,10 min,Yes,Yes,No,No,Yes,4.1,88,12,"$135","Roomy three-bedroom with courtyard grill area and decent parking for roommates."
25,The Orange Line,"$1,140",studio,1 bath,410 sqft,Austin,TX,30.2946,-97.7390,0.6 mi,8 min,No,Yes,Yes,Yes,No,4.0,94,10,"$90","Furnished studio with bundled utilities, shared laundry, and easy access to engineering buildings."
26,Waller Creek Flats,"$1,980/mo",2 bd,2 bath,915 sqft,Austin,TX,30.2854,-97.7288,0.9 mi,10 min,No,Yes,No,No,Yes,3.9,89,12,"$230","East of campus with modern finishes, pet allowance, and extra move-in charges."
27,Thirty-Second Street House,"$2,950",4 bd,2 bath,1750 sqft,Austin,TX,30.2978,-97.7412,1.1 mi,11 min,Yes,Yes,No,No,Yes,4.2,84,12,"$120","Classic student house with porch, driveway parking, and plenty of common space."
28,Live Oak Landing,"$1,560 / month",2 bd,1 bath,790 sq ft,Austin,TX,30.2812,-97.7196,2.0 mi,15 min,No,Yes,No,No,Yes,3.5,71,12,"$215","East side apartment near the bus line with laundry room and a pet-friendly policy."
29,Lamar Graduate Studios,"$1,310",1 bd,1 bath,575 sqft,Austin,TX,30.2768,-97.7524,1.9 mi,16 min,Yes,Yes,No,No,No,4.5,72,12,"$85","Calmer building popular with graduate students, with secure parking and updated interiors."
30,West 24th Terrace,"$2,020/mo",2 bed,2 bath,875 sqft,Austin,TX,30.2876,-97.7439,0.4 mi,6 min,No,Yes,No,Yes,Yes,4.2,96,12,"$165","Highly walkable West Campus property with furnished rooms and strong roommate layout."
31,Shuttle Stop Commons,"$1,740",2 bd,2 ba,970 sqft,Austin,TX,30.2739,-97.7244,1.8 mi,13 min,Yes,Yes,Yes,No,No,3.7,77,12,"$110","South of campus with included utilities, parking, and a fast shuttle connection."
32,Hyde Park Courtyard,"$1,420",1 bed,1 bath,640 sqft,Austin,TX,30.3045,-97.7248,2.1 mi,15 min,No,Yes,No,No,Yes,4.4,70,12,"$105","Leafy courtyard building with card laundry, a quieter vibe, and solid safety ratings."
33,Leon Street Townhomes,"$2,880/mo",3 bd,3 bath,1460 sqft,Austin,TX,30.2907,-97.7468,0.7 mi,8 min,Yes,Yes,No,No,Yes,4.3,92,12,"$210","Townhome-style student unit with attached garage and private bathrooms for each room."
